# 직진  (기준 dt = 0.001 s)
dt,err_m,alt_m
1,5.014411e-07,300.000030
0.5,1.318570e-07,300.000030
0.25,3.479708e-08,300.000030
0.2,2.754889e-08,300.000030
0.1,9.998172e-09,300.000030
0.05,1.685411e-08,300.000030
0.025,2.367557e-08,300.000030
0.01,1.520368e-08,300.000030

# Yaw 2G 선회 20 s 포함  (기준 dt = 0.001 s)
dt,err_m,alt_m
1,1.357809e+00,300.000103
0.5,3.393789e-01,300.000039
0.25,8.483915e-02,300.000032
0.2,5.429622e-02,300.000031
0.1,1.357293e-02,300.000031
0.05,3.392228e-03,300.000031
0.025,8.470637e-04,300.000031
0.01,1.343862e-04,300.000031

